img_path_i,true_age,estimated_age,user_predict_this_img_to_be_older_than,user_predict_this_img_to_be_younger_than
part1/21_1_2_20170104020048292.jpg,21,19,[],"[52, 24, 44, 49, 46, 29, 49, 26, 29, 59, 26, 53, 36, 45, 58]"
part1/29_1_4_20170103224739152.jpg,29,32,"[24, 29, 49, 26, 29, 53, 36]","[52, 44, 49, 46, 59, 26, 45, 58]"
part1/39_1_2_20170105001325620.jpg,39,26,"[24, 29, 49, 26, 29, 53]","[52, 44, 49, 46, 59, 26, 36, 45, 58]"
part1/46_1_1_20170111182452917.jpg,46,26,"[24, 29, 26, 29]","[52, 44, 49, 46, 49, 59, 26, 53, 36, 45, 58]"
part1/26_1_4_20170103225817689.jpg,26,35,"[24, 29, 49, 26, 29]","[52, 44, 49, 46, 59, 26, 53, 36, 45, 58]"
part1/26_1_3_20170104232333226.jpg,26,22,"[26, 29]","[52, 24, 44, 49, 46, 29, 49, 59, 26, 53, 36, 45, 58]"
part1/60_1_0_20170110151507697.jpg,60,55,"[24, 44, 49, 46, 29, 49, 26, 29, 26, 53, 36, 45]","[52, 59, 58]"
part1/33_1_0_20170103181128408.jpg,33,25,"[24, 29, 49, 26, 29, 26, 53, 36]","[52, 44, 49, 46, 59, 45, 58]"
part1/50_1_0_20170110154254311.jpg,50,35,"[24, 49, 29, 49, 26, 29, 53, 36]","[52, 44, 46, 59, 26, 45, 58]"
part1/36_0_4_20170104000906228.jpg,36,36,"[27, 42, 24, 22, 40, 33, 42]","[50, 39, 45, 56, 57, 59, 48, 60]"
part1/35_0_0_20170104201217450.jpg,35,31,"[27, 42, 24, 22, 40, 42]","[50, 39, 45, 56, 57, 33, 59, 48, 60]"
part1/52_0_3_20170109140934624.jpg,52,44,"[27, 42, 56, 24, 22, 40, 33, 42]","[50, 39, 45, 57, 59, 48, 60]"
part1/59_0_0_20170111171747533.jpg,59,52,"[27, 42, 45, 56, 24, 22, 40, 33, 48, 42]","[50, 39, 57, 59, 60]"
part1/30_0_0_20170104201841050.jpg,30,26,"[27, 24, 22]","[50, 39, 42, 45, 56, 57, 40, 33, 59, 48, 42, 60]"
part1/36_0_2_20170104202606050.jpg,36,30,"[27, 24, 22, 33]","[50, 39, 42, 45, 56, 57, 40, 59, 48, 42, 60]"
part1/42_0_2_20170104210407684.jpg,42,46,"[27, 42, 45, 24, 22, 40, 33, 48, 42]","[50, 39, 56, 57, 59, 60]"
part1/28_0_2_20170104022635829.jpg,28,25,"[27, 24, 22]","[50, 39, 42, 45, 56, 57, 40, 33, 59, 48, 42, 60]"
